group_id,store,name,price,url,volume
2447,sas,"Candies ""Werther's Original"" 50g",340.0,/en/catalog/konfety_v_upakovke/79429/,50g
2448,supermarket.am,"Chewing gum ""Mentos Ice"" 12.9g Mint",240.0,/en/products/zhev-rezinka-mentos-ledyanaya-myata-g-tabletki-rossiya_11139/,12g
2448,yerevan_city,"Chewing gum ""Mentos"" ice cherry 12.9g",240.0,/shop/product-details/7451,12g
2449,supermarket.am,"Chewing gum ""Wrigley's 5 Cyclon"" 31.2g Watermelon",500.0,/en/products/zhev-rezinka-new-cyclone-arbuz-g-sht-ssha_11153/,31g
2449,sas,"Watermelon chewing gum ""Wrigley's 5 Cyclon"" 31.2g",520.0,/en/catalog/zhevatelnaya_rezinka/45943/,31g
2449,yerevan_city,"Chewing gum ""5"" juicy watermelon 31.2g",500.0,/shop/product-details/53133,31g
2450,supermarket.am,"Straws for milk ""Milki-Mony"" 5pcs 30g",320.0,/en/products/_989319/,30g
2451,supermarket.am,"Chewing gum ""Mentos Pure White"" 54g Strawberry",1290.0,/en/products/zhev-rezinka-mentos-pure-white-vkus-klubnika-g-pl-rossiya_538915/,54g
2451,sas,"Strawberry chewing gum ""Mentos Pure White"" 54g",1320.0,/en/catalog/zhevatelnaya_rezinka/45893/,54g
2451,yerevan_city,"Chewing gum ""Mentos"" strawberry 54g",1290.0,/shop/product-details/1857,54g
2452,supermarket.am,"Straws for milk ""Milki-Mony"" 5pcs 30g",320.0,/en/products/_989307/,30g
2453,supermarket.am,"Chewing gum ""Orbit White XXL"" 20.4g",190.0,/en/products/_726714/,20g
2453,sas,"Mint chewing gum ""Orbit White XXL"" 20.5g",200.0,/en/catalog/zhevatelnaya_rezinka/390514/,20g
2453,yerevan_city,"Chewing gum ""Orbit"" XXL, tender mint 20.4g",190.0,/shop/product-details/3282,20g
2454,supermarket.am,"Chewing gum ""Mentos"" Tutti Frutti",1650.0,/en/products/_989716/,
2454,yerevan_city,"Chewing gum ""Mentos"" Pure, tutti frutti 100g",1720.0,/shop/product-details/20622,100g
2454,sas,"Tutti frutti chewing gum ""Mentos"" 54g",1320.0,/en/catalog/zhevatelnaya_rezinka/45889/,54g
2455,supermarket.am,"Straws for milk ""Milki-Mony"" 5pcs 30g",1320.0,/en/products/_989308/,30g
2456,supermarket.am,"Straws for milk ""Milki-Mony"" 5pcs 30g",320.0,/en/products/_989317/,30g
2457,supermarket.am,"Lollipops ""Icebrakers""",1520.0,/en/products/ledentsy-ice-breakers-mixed-berry-g_18014/,
2458,supermarket.am,"Straws for milk ""Milki-Mony"" 5pcs 30g",320.0,/en/products/_989320/,30g
2459,supermarket.am,"Dragee ""Skittles"" 70g",490.0,/en/products/_1253344/,70g
2459,yerevan_city,"Dragee ""Skittles"" 2in1 70g",490.0,/shop/product-details/71950,70g
2459,sas,"Dragee ""Skittles 2 in 1"" 70g",530.0,/en/catalog/konfety_v_upakovke/265978/,70g
2460,supermarket.am,"Chewing gum ""Orbit XXL"" 20.4g Strawberry & Banana",190.0,/en/products/_1945709/,20g
2460,sas,"Strawberry & banana chewing gum ""Orbit XXL"" 20.4g",200.0,/en/catalog/zhevatelnaya_rezinka/421041/,20g
